x             y                   l
0.7346900300  0.2653099700        728
0.7346899780  0.2653100220        729
0.7346899520  0.2653100480        730
0.7346900330  0.2653099670        731
0.7346899579  0.2653100421        732
0.7346899404  0.2653100596        733
0.7346900833  0.2653099167        734
0.7346899925  0.2653100075        735
0.7346899933  0.2653100067        736
0.7346900041  0.2653099959        737
0.7346899885  0.2653100115        738
0.7346899970  0.2653100030        739
0.7346900057  0.2653099943        740
0.7346900011  0.2653099989        741
0.7346899860  0.2653100140        742
0.7346900032  0.2653099968        743
0.7346899860  0.2653100140        744
0.7346900002  0.2653099998        745
0.7346899873  0.2653100127        746
0.7346900044  0.2653099956        747
0.7346899861  0.2653100139        748
0.7346900224  0.2653099776        749
0.7346900107  0.2653099893        750
0.7346899955  0.2653100045        751
0.7346900316  0.2653099684        752
0.7346900170  0.2653099830        753
0.7346900202  0.2653099798        754
0.7346900018  0.2653099982        755
0.7346899699  0.2653100301        756
0.7346900215  0.2653099785        757
0.7346899885  0.2653100115        758
0.7346900109  0.2653099891        759
0.7346899520  0.2653100480        760
0.7346899585  0.2653100415        761
0.7346900519  0.2653099481        762
0.7346899877  0.2653100123        763
0.7346899555  0.2653100445        764
0.7346899188  0.2653100812        765
0.7346900536  0.2653099464        766
0.7346900904  0.2653099096        767
0.7346900063  0.2653099937        768
0.7346899937  0.2653100063        769
0.7346899990  0.2653100010        770
0.7346900030  0.2653099970        771
0.7346900127  0.2653099873        772
0.7346899879  0.2653100121        773
0.7346900081  0.2653099919        774
0.7346899852  0.2653100148        775
0.7346900012  0.2653099988        776
0.7346899868  0.2653100132        777
0.7346900094  0.2653099906        778
0.7346899914  0.2653100086        779
0.7346899837  0.2653100163        780
0.7346900220  0.2653099780        781
0.7346899738  0.2653100262        782
0.7346900006  0.2653099994        783
0.7346900034  0.2653099966        784
0.7346899852  0.2653100148        785
0.7346899987  0.2653100013        786
0.7346899688  0.2653100312        787
0.7346900009  0.2653099991        788
0.7346900322  0.2653099678        789
0.7346899540  0.2653100460        790
0.7346899627  0.2653100373        791
0.7346900220  0.2653099780        792
0.7346899980  0.2653100020        793
0.7346900217  0.2653099783        794
0.7346899746  0.2653100254        795
0.7346900711  0.2653099289        796
0.7346900386  0.2653099614        797
0.7346900723  0.2653099277        798
0.7346899459  0.2653100541        799
0.7346899880  0.2653100120        800
0.7346900035  0.2653099965        801
0.7346900080  0.2653099920        802
0.7346900048  0.2653099952        803
0.7346899926  0.2653100074        804
0.7346899908  0.2653100092        805
0.7346899913  0.2653100087        806
0.7346900147  0.2653099853        807
0.7346899929  0.2653100071        808
0.7346899911  0.2653100089        809
0.7346899978  0.2653100022        810
0.7346900133  0.2653099867        811
0.7346900106  0.2653099894        812
0.7346900170  0.2653099830        813
0.7346899903  0.2653100097        814
0.7346900095  0.2653099905        815
0.7346899755  0.2653100245        816
0.7346899713  0.2653100287        817
0.7346899975  0.2653100025        818
0.7346900217  0.2653099783        819
0.7346899843  0.2653100157        820
0.7346899961  0.2653100039        821
0.7346899917  0.2653100083        822
0.7346900013  0.2653099987        823
0.7346900078  0.2653099922        824
0.7346899698  0.2653100302        825
0.7346900119  0.2653099881        826
0.7346899971  0.2653100029        827
0.7346900443  0.2653099557        828
0.7346900587  0.2653099413        829
0.7346899588  0.2653100412        830
