  lambda       6528gla    6529gla    6530gla    6531gla    6532gla   6529glaSPMO
% absorb(nm)  --------   --------   --------   --------   --------   -----------
     403      0.923107   0.694386   1.230070   1.152730   0.552416     0.3568080
     404      0.919540   0.691287   1.230730   1.149520   0.547862     0.3680420
     405      0.916313   0.687433   1.230130   1.146550   0.543517     0.3841110
     406      0.912528   0.684986   1.230780   1.143970   0.539244     0.4031860
     407      0.908760   0.682330   1.230670   1.140630   0.534446     0.4061140
     408      0.905680   0.679207   1.229540   1.136810   0.529675     0.4190580
     409      0.901651   0.676854   1.230850   1.134530   0.526092     0.4259700
     410      0.898335   0.672858   1.230850   1.131300   0.521806     0.4389670
     411      0.893459   0.670276   1.230020   1.128050   0.517774     0.4447940
     412      0.889961   0.666923   1.230360   1.124980   0.513638     0.4517950
     413      0.886703   0.664274   1.230660   1.121210   0.510199     0.4622600
     414      0.882282   0.661723   1.230640   1.117780   0.505429     0.4721700
     415      0.879088   0.658479   1.231180   1.114660   0.501568     0.4731570
     416      0.875784   0.656013   1.231350   1.111540   0.498018     0.4822270
     417      0.871554   0.654402   1.230960   1.107590   0.493895     0.4850160
     418      0.867248   0.651313   1.231400   1.103670   0.489869     0.4916720
     419      0.862808   0.648999   1.232080   1.100490   0.485966     0.4954610
     420      0.857971   0.645435   1.232330   1.096380   0.481822     0.5019350
     421      0.854091   0.643763   1.231910   1.092190   0.477076     0.5062460
     422      0.849270   0.641323   1.231520   1.088230   0.473728     0.5126290
     423      0.844361   0.637870   1.231390   1.084310   0.470219     0.5101650
     424      0.839954   0.635828   1.232050   1.080560   0.466843     0.5156140
     425      0.835023   0.633035   1.231560   1.076400   0.463183     0.5181600
     426      0.830553   0.631240   1.231830   1.072690   0.459654     0.5151810
     427      0.825354   0.628895   1.232290   1.067990   0.455954     0.5155050
     428      0.820978   0.626652   1.232120   1.064500   0.453216     0.5129120
     429      0.816560   0.624108   1.232520   1.060590   0.449984     0.5175510
     430      0.812046   0.623269   1.232170   1.057010   0.446624     0.5162300
     431      0.807556   0.620122   1.232690   1.053500   0.443360     0.5136260
     432      0.803212   0.618732   1.232270   1.049630   0.440411     0.5185220
     433      0.799714   0.616709   1.232920   1.046820   0.438050     0.5149130
     434      0.794494   0.614993   1.232420   1.044220   0.435322     0.5165440
     435      0.790461   0.613312   1.232240   1.040360   0.432489     0.5201180
     436      0.785909   0.610917   1.232610   1.037250   0.429299     0.5183840
     437      0.781478   0.609909   1.232590   1.034120   0.426682     0.5184490
     438      0.777062   0.606947   1.232920   1.031130   0.424422     0.5229690
     439      0.773518   0.605930   1.232580   1.029280   0.421729     0.5238230
     440      0.769110   0.604465   1.232980   1.026470   0.419277     0.5243960
     441      0.764919   0.602223   1.232710   1.024520   0.417588     0.5249080
     442      0.762212   0.601187   1.233410   1.022450   0.415606     0.5263460
     443      0.758475   0.599505   1.233230   1.020530   0.413622     0.5275460
     444      0.754616   0.598893   1.233050   1.018040   0.411323     0.5275270
     445      0.751323   0.596684   1.234020   1.015580   0.409844     0.5296030
     446      0.747951   0.594843   1.233190   1.014260   0.408192     0.5304250
     447      0.744151   0.593022   1.232920   1.011560   0.406204     0.5315680
     448      0.741542   0.591976   1.233560   1.009500   0.404761     0.5306820
     449      0.737832   0.590115   1.232920   1.006720   0.402957     0.5335730
     450      0.734592   0.588709   1.233910   1.004500   0.401566     0.5316580
     451      0.731318   0.587306   1.233770   1.000930   0.399002     0.5365610
     452      0.728111   0.586283   1.234020   0.998552   0.397400     0.5350310
     453      0.725036   0.584093   1.233910   0.995845   0.396108     0.5352140
     454      0.721783   0.583145   1.234260   0.993185   0.394848     0.5391360
     455      0.719022   0.581914   1.234550   0.990280   0.392659     0.5379950
     456      0.716937   0.580421   1.234130   0.988018   0.391663     0.5387930
     457      0.714101   0.578529   1.234550   0.984435   0.390179     0.5402630
     458      0.710777   0.577058   1.234730   0.981148   0.388423     0.5379440
     459      0.707679   0.575278   1.235300   0.977812   0.387374     0.5383270
     460      0.704601   0.573091   1.235110   0.973700   0.385233     0.5390140
     461      0.701653   0.573048   1.235190   0.970256   0.384147     0.5363230
     462      0.698713   0.571085   1.235900   0.966606   0.382998     0.5375250
     463      0.694885   0.569653   1.236490   0.963169   0.381732     0.5383200
     464      0.691750   0.568021   1.236020   0.959015   0.379914     0.5383130
     465      0.689348   0.567319   1.236180   0.955091   0.378456     0.5338940
     466      0.685730   0.565946   1.236990   0.951578   0.377616     0.5354610
     467      0.682275   0.564509   1.235920   0.947149   0.375811     0.5330060
     468      0.678573   0.563939   1.236620   0.943074   0.374466     0.5354300
     469      0.675806   0.562871   1.236930   0.939667   0.373470     0.5311430
