  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     350      0.689153   0.829486   0.729884   0.782124   0.893316
     351      0.685236   0.826381   0.725342   0.780237   0.889253
     352      0.682121   0.824362   0.721746   0.778667   0.885171
     353      0.678954   0.823101   0.719581   0.776721   0.882712
     354      0.675879   0.821361   0.715379   0.775907   0.878100
     355      0.672205   0.817985   0.711504   0.774465   0.874877
     356      0.668305   0.816527   0.707168   0.772210   0.871144
     357      0.663825   0.813479   0.702658   0.770147   0.866560
     358      0.660255   0.810684   0.697813   0.768871   0.861852
     359      0.656380   0.807792   0.694212   0.765872   0.858517
     360      0.652872   0.806449   0.690924   0.766182   0.855538
     361      0.649841   0.804557   0.687000   0.763887   0.851317
     362      0.647131   0.801720   0.684170   0.762232   0.848851
     363      0.642864   0.798988   0.679556   0.760132   0.844213
     364      0.639711   0.796576   0.676930   0.758303   0.841125
     365      0.636570   0.795221   0.673172   0.756446   0.836962
     366      0.632950   0.791721   0.669287   0.754696   0.833572
     367      0.630287   0.790313   0.666072   0.752950   0.830137
     368      0.627616   0.787877   0.662755   0.751397   0.827610
     369      0.623811   0.785362   0.658819   0.748871   0.823191
     370      0.620451   0.782730   0.655740   0.747442   0.818929
     371      0.617704   0.780962   0.652295   0.745738   0.816281
     372      0.613964   0.777933   0.648735   0.743092   0.811495
     373      0.611507   0.775612   0.645100   0.741301   0.809570
     374      0.608283   0.773422   0.642007   0.740088   0.805386
     375      0.605149   0.771845   0.639105   0.737999   0.802685
     376      0.602971   0.769478   0.636585   0.736875   0.799814
     377      0.599024   0.766644   0.632586   0.733693   0.796249
     378      0.596323   0.764667   0.629548   0.731943   0.792749
     379      0.592948   0.762167   0.625192   0.729971   0.788990
     380      0.588938   0.758555   0.621044   0.727231   0.784843
     381      0.586110   0.756611   0.617685   0.725024   0.780938
     382      0.581834   0.752959   0.614037   0.721461   0.776514
     383      0.579928   0.750733   0.610611   0.720109   0.772591
     384      0.575822   0.747990   0.606312   0.717249   0.768891
     385      0.573040   0.745078   0.603333   0.714909   0.765616
     386      0.569755   0.742460   0.599599   0.713156   0.761538
     387      0.566981   0.740630   0.596264   0.710881   0.758697
     388      0.564254   0.737553   0.593369   0.708703   0.755238
     389      0.561558   0.735899   0.590065   0.706417   0.751493
     390      0.558062   0.732670   0.586478   0.704184   0.748262
     391      0.554460   0.729696   0.582353   0.701069   0.744537
     392      0.551918   0.727584   0.579961   0.699778   0.741330
     393      0.549853   0.725806   0.577358   0.697818   0.738312
     394      0.546712   0.722878   0.573667   0.694916   0.735151
     395      0.543884   0.720407   0.570373   0.693058   0.732228
     396      0.541316   0.718417   0.567877   0.691263   0.728861
     397      0.538378   0.715388   0.564099   0.688484   0.725882
     398      0.535484   0.713317   0.560871   0.686185   0.722313
     399      0.532848   0.710266   0.557798   0.683661   0.718941
     400      0.529930   0.708494   0.555108   0.681772   0.715883
     401      0.527662   0.706362   0.552030   0.679321   0.712883
     402      0.525201   0.703706   0.549683   0.677980   0.710662
     403      0.523213   0.702250   0.546996   0.676445   0.707985
     404      0.520565   0.699763   0.544079   0.673756   0.704963
     405      0.518376   0.698101   0.541164   0.672005   0.702173
     406      0.516130   0.695828   0.538970   0.669497   0.699617
     407      0.513973   0.692788   0.536267   0.667143   0.696308
     408      0.512300   0.692064   0.534652   0.665900   0.694906
     409      0.508979   0.688818   0.530686   0.662639   0.690919
     410      0.507554   0.686871   0.528989   0.661814   0.688569
     411      0.505050   0.684549   0.525639   0.658438   0.685328
     412      0.503201   0.682852   0.524181   0.657263   0.683870
     413      0.501156   0.681527   0.522087   0.655468   0.681242
     414      0.498886   0.678815   0.519495   0.653012   0.678462
     415      0.497691   0.677205   0.517714   0.651218   0.676644
     416      0.496435   0.675619   0.516394   0.650109   0.675529
     417      0.495011   0.674236   0.514575   0.648356   0.674304
     418      0.493733   0.672679   0.513288   0.646556   0.672721
     419      0.492745   0.671342   0.512174   0.645421   0.671438
     420      0.491325   0.669718   0.510284   0.642742   0.669226
     421      0.489450   0.667621   0.508626   0.640809   0.667648
     422      0.488737   0.666090   0.507545   0.638876   0.666476
     423      0.488129   0.664427   0.506513   0.637350   0.665455
     424      0.486448   0.662229   0.505054   0.634547   0.663150
     425      0.486142   0.661470   0.504761   0.633587   0.662963
     426      0.485252   0.660172   0.503791   0.631899   0.661880
     427      0.484467   0.658812   0.502833   0.630174   0.661342
     428      0.483417   0.656828   0.502121   0.628160   0.660405
     429      0.483465   0.656384   0.502314   0.626786   0.659830
     430      0.483043   0.655309   0.501429   0.624626   0.659642
     431      0.483014   0.653929   0.501576   0.623174   0.659611
     432      0.482831   0.653449   0.502088   0.622273   0.659326
     433      0.482759   0.652124   0.501502   0.621110   0.659462
     434      0.483433   0.651791   0.502681   0.619868   0.659972
     435      0.482939   0.651219   0.502475   0.618822   0.659934
     436      0.482866   0.649644   0.502508   0.616650   0.659669
     437      0.483089   0.649042   0.503144   0.615485   0.660248
     438      0.483652   0.648231   0.503381   0.613755   0.660914
     439      0.483484   0.647368   0.504324   0.612969   0.661127
     440      0.483882   0.646441   0.504250   0.611705   0.661355
     441      0.483458   0.645431   0.504699   0.610206   0.661528
     442      0.484027   0.645200   0.505168   0.609071   0.661494
     443      0.483961   0.644470   0.505674   0.607875   0.661730
     444      0.484401   0.643890   0.506192   0.607146   0.661982
     445      0.483625   0.642109   0.505385   0.605070   0.661110
     446      0.483844   0.641694   0.505691   0.604662   0.660900
     447      0.482829   0.640513   0.505628   0.603392   0.660257
     448      0.482603   0.640107   0.505336   0.602360   0.660250
     449      0.482284   0.639152   0.505189   0.601689   0.659634
     450      0.481627   0.637626   0.504226   0.600245   0.658929
     451      0.480765   0.636536   0.503311   0.599140   0.658086
     452      0.479531   0.634981   0.502220   0.597635   0.656345
     453      0.478511   0.634342   0.501343   0.596846   0.655060
     454      0.477498   0.632879   0.499910   0.595648   0.653184
     455      0.475930   0.631258   0.498238   0.594719   0.651627
     456      0.474445   0.630175   0.496960   0.593702   0.650718
     457      0.472672   0.628691   0.495250   0.592294   0.648190
     458      0.471145   0.626957   0.493559   0.591086   0.646211
     459      0.470283   0.625920   0.492377   0.590562   0.644818
     460      0.468496   0.624843   0.490627   0.589455   0.643140
     461      0.466816   0.622716   0.488539   0.588125   0.640645
     462      0.465101   0.621753   0.486717   0.587358   0.638744
     463      0.463585   0.620319   0.485139   0.586608   0.637032
     464      0.461889   0.618753   0.483451   0.585965   0.635190
     465      0.460834   0.617715   0.481751   0.584745   0.633326
     466      0.459050   0.616139   0.480110   0.584409   0.631779
     467      0.457749   0.615141   0.478821   0.583763   0.629277
     468      0.456785   0.613694   0.476919   0.582413   0.627291
     469      0.454680   0.612271   0.475067   0.581405   0.625624
     470      0.453721   0.611432   0.473780   0.580577   0.624238
     471      0.453108   0.610622   0.473336   0.580492   0.623391
     472      0.451528   0.609549   0.471481   0.579624   0.621614
     473      0.449634   0.608075   0.469458   0.577942   0.619971
     474      0.448570   0.606766   0.468336   0.576853   0.618296
     475      0.447905   0.605988   0.467037   0.576228   0.616808
     476      0.446096   0.604195   0.465126   0.574744   0.614975
     477      0.445385   0.603268   0.463865   0.573855   0.613662
     478      0.443444   0.601666   0.462088   0.572180   0.611721
     479      0.441860   0.599895   0.460238   0.570017   0.609811
     480      0.439927   0.597815   0.458034   0.567790   0.606959
     481      0.438693   0.596010   0.456308   0.565935   0.604998
     482      0.437640   0.595093   0.454609   0.564758   0.603179
     483      0.435658   0.593062   0.452781   0.562885   0.601033
     484      0.434072   0.591327   0.450606   0.560315   0.599044
     485      0.432569   0.589589   0.448773   0.558470   0.596693
     486      0.431274   0.588245   0.447059   0.556484   0.594378
     487      0.429701   0.586302   0.444726   0.554194   0.592636
     488      0.427963   0.583774   0.442362   0.551708   0.589460
     489      0.425824   0.582050   0.440217   0.549705   0.586996
     490      0.424107   0.579656   0.437396   0.547045   0.584370
     491      0.422577   0.578018   0.435597   0.545318   0.582065
     492      0.420390   0.575768   0.432673   0.542508   0.579168
     493      0.418545   0.573931   0.430358   0.540475   0.576192
     494      0.417105   0.571899   0.428140   0.538581   0.573948
     495      0.415235   0.569903   0.425891   0.536347   0.571378
     496      0.414124   0.568982   0.424580   0.535233   0.570116
     497      0.412207   0.567182   0.422497   0.533296   0.567321
     498      0.410543   0.564713   0.419859   0.531156   0.564338
     499      0.408554   0.562915   0.417432   0.528912   0.562031
     500      0.406085   0.560380   0.414372   0.526943   0.558526
     501      0.404679   0.558526   0.412569   0.525192   0.556458
     502      0.402587   0.556317   0.409490   0.523199   0.553780
     503      0.400933   0.554562   0.407851   0.521565   0.551557
     504      0.399743   0.553453   0.405897   0.519809   0.549491
     505      0.397433   0.550884   0.403623   0.517782   0.546613
     506      0.396438   0.549577   0.401832   0.516338   0.544733
     507      0.394868   0.547737   0.400156   0.515067   0.542907
     508      0.392325   0.545109   0.397294   0.512778   0.539927
     509      0.391626   0.544282   0.396015   0.511658   0.538329
     510      0.390041   0.542621   0.394122   0.510097   0.536390
     511      0.388669   0.540704   0.392414   0.508654   0.534393
     512      0.387556   0.539635   0.391436   0.507390   0.533162
     513      0.385752   0.537669   0.389649   0.505484   0.530924
     514      0.384543   0.536197   0.387707   0.504140   0.528951
     515      0.382941   0.533907   0.386012   0.502518   0.526797
     516      0.381948   0.532666   0.384305   0.500561   0.525161
     517      0.379886   0.530810   0.382513   0.499052   0.523469
     518      0.378946   0.528846   0.381082   0.497425   0.521517
     519      0.377238   0.527334   0.379392   0.496134   0.519919
     520      0.376194   0.525532   0.377804   0.494449   0.518146
     521      0.375193   0.524229   0.376528   0.493254   0.517084
     522      0.373600   0.521843   0.375034   0.491404   0.514556
     523      0.372597   0.520850   0.373830   0.490156   0.513636
     524      0.371355   0.518585   0.372209   0.488437   0.511341
     525      0.369606   0.516949   0.370843   0.486626   0.509768
     526      0.368359   0.515159   0.369425   0.484992   0.508647
     527      0.366638   0.513027   0.367721   0.483127   0.506639
     528      0.365806   0.511356   0.366834   0.481461   0.505192
     529      0.364414   0.508998   0.365006   0.479547   0.503272
     530      0.362961   0.507246   0.363638   0.478198   0.501781
     531      0.361969   0.505052   0.362027   0.476319   0.499872
     532      0.360466   0.503139   0.360703   0.474493   0.498356
     533      0.358804   0.500334   0.359113   0.472446   0.496561
     534      0.357525   0.498557   0.357836   0.470638   0.494859
